timestamp,sample
1726836314342,-54
1726836314470,187
1726836314478,25
1726836314486,-576
1726836314494,-887
1726836314502,-324
1726836314510,679
1726836314518,1178
1726836314526,902
1726836314534,438
1726836314542,291
1726836314550,179
1726836314558,1
1726836314566,-37
1726836314574,-53
1726836314582,-74
1726836314590,-69
1726836314598,-73
1726836314606,-70
1726836314614,-59
1726836314622,-52
1726836314630,-45
1726836314638,-40
1726836314646,-31
1726836314654,-28
1726836314662,-25
1726836314670,-25
1726836314678,-25
1726836314686,-23
1726836314694,-21
1726836314702,-21
1726836314710,-16
1726836314718,-12
1726836314726,-9
1726836314734,-13
1726836314742,-17
1726836314750,-23
1726836314758,-27
1726836314766,-34
1726836314774,-41
1726836314782,-49
1726836314790,-53
1726836314798,-50
1726836314806,-42
1726836314814,-38
1726836314822,-45
1726836314830,-55
1726836314838,-70
1726836314846,-82
1726836314854,-93
1726836314862,-100
1726836314870,-96
1726836314878,-89
1726836314886,-85
1726836314894,-78
1726836314902,-68
1726836314910,-63
1726836314918,-55
1726836314926,-44
1726836314934,-37
1726836314942,-41
1726836314950,-46
1726836314958,-50
1726836314966,-50
1726836314974,-52
1726836314982,-62
1726836314990,-69
1726836314998,-71
1726836315006,-71
1726836315014,-75
1726836315022,-81
1726836315030,-84
1726836315038,-81
1726836315046,-86
1726836315054,-90
1726836315062,-89
1726836315070,-78
1726836315078,-66
1726836315086,-63
1726836315094,-69
1726836315102,-73
1726836315110,-73
1726836315118,-71
1726836315126,-70
1726836315134,-68
1726836315142,-67
1726836315150,-67
1726836315158,-69
1726836315166,-70
1726836315174,-66
1726836315182,-65
1726836315190,-69
1726836315198,-67
1726836315206,-64
1726836315214,-63
1726836315222,-66
1726836315230,-66
1726836315238,-65
1726836315246,-66
1726836315254,-63
1726836315262,-64
1726836315270,-69
1726836315278,-76
1726836315286,-76
1726836315294,-75
1726836315302,-72
1726836315310,-65
1726836315318,-41
1726836315326,-21
1726836315334,-21
1726836315342,-43
1726836315350,-64
1726836315358,-80
1726836315366,-89
1726836315374,-96
1726836315382,-95
1726836315390,-85
1726836315398,-71
1726836315406,-57
1726836315414,-45
