timestamp,x,y,z
1726836847207,-1.75,-2.24,-0.28
1726836847282,-0.56,-1.96,-0.21000001
1726836847301,-1.47,-2.17,-0.21000001
1726836847320,0.21000001,-2.17,-0.35
1726836847338,3.5,-2.24,-0.42000002
1726836847358,3.08,-2.03,-0.56
1726836847377,-0.91,-1.54,-0.49
1726836847396,-1.89,-1.12,-0.63
1726836847415,-1.12,-1.47,-0.77
1726836847433,-0.07,-1.82,-0.7
1726836847452,-0.42000002,-1.96,-0.42000002
1726836847471,0.14,-1.82,-0.28
1726836847489,0.77,-1.89,-0.28
1726836847508,1.33,-2.17,-0.28
1726836847527,1.12,-2.38,-0.14
1726836847546,0.28,-2.59,-0.07
1726836847564,-0.49,-2.52,-0.07
1726836847583,-0.35,-2.52,-0.14
1726836847602,-0.07,-2.17,-0.28
1726836847621,-0.28,-1.89,-0.35
1726836847639,-0.07,-1.6800001,-0.49
1726836847658,-0.35,-1.6800001,-0.28
1726836847677,-0.21000001,-1.75,-0.07
1726836847696,0.28,-1.75,-0.14
1726836847714,-1.05,-2.03,-0.28
1726836847734,-1.61,-2.03,-0.28
1726836847753,-1.47,-2.1,-0.14
1726836847772,-1.33,-2.24,-0.21000001
1726836847791,0.56,-2.24,-0.07
1726836847809,0.63,-2.31,-0.14
1726836847828,-0.14,-2.1,-0.14
1726836847847,0.42000002,-1.89,-0.35
1726836847865,0.77,-1.6800001,-0.28
1726836847884,0.77,-1.47,-0.21000001
1726836847903,1.05,-1.47,-0.14
1726836847922,0.91,-2.03,-0.14
1726836847940,-0.28,-2.1,-0.21000001
1726836847959,0.56,-2.17,-0.07
1726836847978,-1.19,-1.6800001,-0.07
1726836847997,-4.48,-1.75,0
1726836848015,-2.59,-2.24,-0.21000001
1726836848034,-5.32,-2.24,-0.21000001
1726836848053,-5.6,-1.96,0.07
1726836848072,-0.7,-1.4,-0.07
1726836848090,0.98,-1.54,-0.21000001
1726836848110,1.47,-1.6800001,-0.49
1726836848129,1.47,-1.89,-0.7
1726836848148,1.26,-1.6800001,-0.77
1726836848167,1.54,-1.61,-0.84000003
1726836848185,0.14,-1.61,-0.56
1726836848204,-0.77,-1.61,-0.28
1726836848223,-1.12,-1.6800001,0.07
1726836848241,-1.19,-1.82,0.07
1726836848260,0.63,-2.03,0
1726836848279,0.7,-1.96,-0.14
1726836848298,0,-2.03,-0.28
1726836848316,0.21000001,-2.03,-0.56
1726836848335,-1.26,-1.89,-0.35
1726836848354,-0.84000003,-1.54,-0.42000002
1726836848373,-1.4,-1.61,-0.42000002
1726836848391,-3.08,-2.03,-0.42000002
1726836848410,-4.13,-2.17,-0.49
1726836848429,-4.69,-2.1,-0.49
1726836848448,-4.34,-1.96,-0.7
1726836848466,-3.43,-1.96,-0.77
1726836848485,-2.38,-2.24,-0.56
1726836848504,-0.91,-2.38,-0.14
1726836848523,-0.42000002,-2.38,0.28
1726836848541,-0.07,-2.59,0.49
1726836848560,-0.21000001,-2.45,0.49
1726836848579,0.07,-2.45,0.21000001
1726836848598,1.54,-2.1,0
1726836848616,2.94,-1.82,-0.21000001
1726836848635,-0.07,-1.61,-0.28
1726836848654,-2.8,-1.75,-0.35
1726836848673,-2.24,-2.03,-0.49
1726836848691,-2.52,-2.17,-0.28
1726836848710,-0.07,-2.38,-0.14
1726836848729,2.17,-2.03,-0.14
1726836848748,1.61,-1.75,-0.14
1726836848766,1.75,-1.47,-0.21000001
1726836848785,2.59,-1.6800001,-0.28
1726836848804,2.31,-1.89,-0.28
1726836848823,2.52,-2.1,0
1726836848841,3.5,-1.96,0.07
1726836848860,4.41,-1.6800001,0.07
1726836848879,5.67,-1.47,-0.07
1726836848898,7,-1.4,-0.21000001
1726836848916,6.09,-0.98,-0.28
1726836848936,4.69,-0.77,-0.07
1726836848955,3.22,-0.49,-0.14
1726836848974,3.5,-0.7,-0.28
1726836848993,4.27,-1.61,-0.28
1726836849011,1.47,-1.96,0.07
1726836849030,1.82,-1.89,0.35
1726836849049,4.34,-1.26,0.56
1726836849067,6.44,-1.12,0.35
1726836849086,8.54,-1.54,-0.21000001
1726836849105,9.1,-1.89,-0.21000001
1726836849124,8.68,-1.82,-0.14
1726836849142,8.68,-1.61,0.14
1726836849161,8.54,-1.6800001,0.35
1726836849180,7.84,-1.82,0.42000002
1726836849199,6.86,-2.17,0.49
1726836849217,6.02,-2.45,0.56
1726836849236,5.39,-2.8700001,0.56
1726836849255,5.39,-3.29,0.42000002
1726836849274,5.88,-3.29,0.28
1726836849292,5.04,-3.22,0
1726836849312,2.1,-2.73,0
1726836849331,1.54,-2.1,-0.28
1726836849350,2.38,-1.82,-0.49
1726836849369,2.24,-1.61,-0.42000002
1726836849387,1.61,-1.33,-0.35
1726836849406,0.84000003,-1.19,-0.28
1726836849425,-0.35,-1.26,-0.21000001
1726836849443,-1.54,-1.47,-0.49
1726836849462,-2.45,-1.61,-0.56
1726836849481,-3.15,-1.54,-0.49
1726836849500,-2.73,-1.19,-0.35
1726836849518,-1.12,-1.05,-0.42000002
1726836849537,-0.84000003,-0.98,-0.42000002
1726836849556,-2.45,-1.05,-0.35
1726836849575,-4.27,-1.12,-0.35
1726836849593,-5.04,-1.12,-0.35
1726836849612,-4.48,-1.12,-0.56
1726836849631,-4.76,-1.19,-0.63
1726836849650,-5.46,-1.19,-0.7
1726836849668,-5.04,-1.19,-0.77
1726836849687,-3.29,-1.19,-0.56
1726836849706,-1.05,-1.54,-0.56
1726836849725,0,-1.75,-0.42000002
1726836849743,0.56,-1.75,-0.28
1726836849762,2.1,-2.24,0
1726836849781,3.78,-2.45,0.07
1726836849800,3.99,-2.03,0.07
1726836849818,4.55,-1.82,0.07
1726836849837,4.13,-1.61,0.14
1726836849856,2.52,-1.75,-0.07
1726836849875,1.19,-2.38,-0.21000001
1726836849893,0.35,-2.73,0.07
1726836849912,-4.06,-2.45,0.7
1726836849931,-4.97,-2.03,0.21000001
1726836849950,-0.14,-2.03,-0.42000002
1726836849968,3.99,-2.8,-0.56
1726836849987,5.11,-2.8,-0.56
1726836850006,5.04,-2.38,-0.35
1726836850025,6.65,-1.89,-0.35
1726836850043,6.7200003,-2.17,-0.63
1726836850063,4.2,-2.17,-0.56
1726836850082,1.96,-1.82,-0.35
1726836850101,0.49,-1.54,-0.28
1726836850120,0.07,-1.6800001,-0.35
1726836850138,0.56,-1.89,-0.28
1726836850157,0.77,-2.17,-0.14
1726836850176,1.12,-2.31,0
1726836850194,1.89,-2.17,0.07
1726836850213,3.01,-2.38,-0.07
1726836850232,3.29,-2.38,-0.28
1726836850251,0.56,-2.31,-0.42000002
1726836850269,-2.38,-1.89,-0.49
1726836850288,-2.59,-1.75,-0.56
1726836850307,0.07,-2.03,-0.42000002
1726836850326,0.77,-2.1,-0.21000001
1726836850344,1.61,-1.82,-0.28
1726836850363,1.47,-1.89,-0.42000002
1726836850382,1.6800001,-1.96,-0.49
1726836850401,2.1,-2.24,-0.42000002
1726836850419,0.77,-2.38,-0.14
1726836850439,0.42000002,-2.31,-0.07
1726836850458,0.21000001,-2.31,-0.07
1726836850477,0.28,-2.03,-0.07
1726836850496,1.33,-1.82,-0.14
1726836850514,1.54,-1.54,-0.28
1726836850533,0.98,-1.54,-0.42000002
1726836850552,0.98,-1.6800001,-0.49
1726836850570,0.91,-1.75,-0.42000002
1726836850589,0.77,-1.82,-0.42000002
1726836850608,0.91,-1.82,-0.42000002
1726836850627,1.26,-1.82,-0.42000002
1726836850645,1.82,-1.75,-0.21000001
1726836850664,2.03,-1.75,-0.21000001
1726836850683,1.19,-1.75,-0.14
1726836850702,0,-1.61,-0.14
1726836850720,-0.91,-1.61,-0.14
1726836850739,-1.54,-1.61,-0.28
1726836850758,-1.33,-1.61,-0.42000002
1726836850777,-0.07,-1.89,-0.42000002
1726836850795,0.14,-1.89,-0.42000002
1726836850814,-0.42000002,-1.96,-0.56
1726836850833,-1.33,-1.05,-0.42000002
1726836850852,-2.94,-0.91,-0.42000002
1726836850870,0,-1.75,-0.56
1726836850889,-1.47,-2.24,-0.42000002
1726836850908,-6.7200003,-1.89,-0.28
1726836850927,-3.29,-1.47,-0.14
1726836850945,1.61,-1.4,-0.07
1726836850964,3.5,-2.17,-0.28
1726836850983,3.22,-2.73,-0.49
1726836851002,1.33,-2.31,-0.7
1726836851020,-0.42000002,-1.82,-0.63
1726836851039,0,-1.54,-0.56
1726836851058,-0.21000001,-1.61,-0.28
1726836851077,0.21000001,-1.6800001,0.07
1726836851095,1.33,-1.54,0.07
1726836851114,1.19,-1.61,0
1726836851133,1.26,-1.6800001,-0.21000001
1726836851152,2.31,-1.96,-0.42000002
1726836851170,1.6800001,-2.03,-0.56
1726836851190,1.33,-2.1,-0.63
1726836851209,1.05,-2.03,-0.7
1726836851228,0.91,-1.89,-0.63
1726836851247,0.84000003,-1.89,-0.56
